ModuleName,Template,template-is-different,type-solvable-difference,type-unsolvable-difference,extra-parameter,missing-parameter,function-missing,function-extra,function-overloading-difference,export-assignment-is-different
accept-language-parser,module,0,3,4,0,2,0,0,1,0
absolute-url,module,1,0,0,0,0,0,0,0,0
abs,module-function,0,1,0,0,0,0,0,0,1
acl,module,0,0,0,0,0,0,8,0,0
adlib,module,0,3,0,0,1,0,22,0,0
accepts,module-function,0,0,1,0,0,0,0,0,1
add-zero,module-function,0,0,0,0,0,0,0,0,1
agent-base,module-function,0,1,1,1,5,0,0,1,1
ajv-pack,module-function,0,0,1,1,0,0,0,0,0
align-text,module-function,0,1,1,2,0,0,0,1,1
alpha-shape,module-function,0,0,1,1,0,0,0,0,1
android-versions,module,1,0,0,0,0,0,0,0,0
angular-clipboard,module,0,0,0,0,0,0,2,0,0
ansi-escape-sequences,module,0,0,2,0,0,0,0,0,0
angular-notify,module,0,0,0,0,0,0,2,0,0
ansicolors,module,0,0,0,0,0,0,12,0,0
any-db,module,0,2,0,0,18,0,0,2,0
apigee-access,module,0,0,0,0,0,0,2,0,0
app-root-path,module,1,0,0,0,0,0,0,0,0
append-query,module-function,0,0,1,0,2,0,0,0,1
array-initial,module-function,0,0,1,0,0,0,0,0,1
array-foreach,module-function,0,4,6,2,0,0,0,1,1
array-sort,module-function,0,0,2,0,1,0,0,0,1
array-unique,module-function,0,0,1,0,0,0,0,0,1
async-busboy,module,1,0,0,0,0,0,0,0,0
arrive,module,1,0,0,0,0,0,0,0,0
atpl,module,1,0,0,0,0,0,0,0,0
async-writer,module,1,0,0,0,0,0,0,0,0
audio-play,module-function,1,0,0,0,0,0,0,0,0
auto-launch,module-class,1,0,0,0,0,0,0,0,0
autokanji,module,0,0,0,0,0,2,0,0,0
aws4,module,1,0,0,0,0,0,0,0,0
aws-lambda,module,0,0,0,0,0,0,0,0,0
b-spline,module-function,0,3,0,1,0,0,0,0,1
backblaze-b2,module-class,1,0,0,0,0,0,0,0,0
b_,module,1,0,0,0,0,0,0,0,0
backlog-js,module,0,0,0,0,0,0,0,0,0
backoff,module,0,0,0,0,0,19,0,0,0
balanced-match,module-function,0,0,0,0,0,0,0,0,1
bagpipes,module,0,0,0,0,0,1,0,0,0
barbellweights,module,0,0,0,0,0,0,0,0,0
base-64,module,0,0,2,0,0,0,0,0,0
base64-stream,module,0,0,0,0,0,0,0,0,0
bases,module,1,0,0,0,0,0,0,0,0
bash-glob,module-function,0,11,12,5,55,0,0,1,1
basic-auth,module-function,0,0,0,1,0,0,0,0,1
basicauth-middleware,module-function,0,0,3,1,0,0,0,1,1
batch-stream,module-class,0,1,0,0,0,0,3,0,0
bencode,module,1,0,0,0,0,0,0,0,0
better-queue,module-class,0,4,2,23,26,2,14,2,0
bidirectional-map,module,1,0,0,0,0,0,0,0,0
bintrees,module,1,0,0,0,0,0,0,0,0
bit-array,module,1,0,0,0,0,0,0,0,0
bitwise-xor,module-function,0,0,2,0,0,0,0,0,1
